Unnamed: 0,Unnamed: 0.1,pitcher_id,ab_id,sz_top,sz_bot,spin,norm_ht,inning,pfx_x,pfx_z,vx0,vz0,ax,ay,az,start_speed,px,pz,pxold,pitch_count_game,pitch_count_inning,fastball,curveball,changeup,swg_strike,call_strike,contact,ball,pitcher_home,same_hand,MLBID,ops,Unnamed: 0.1,temp,wet,cloudy,overcast,dome,sunny,p_throws_left,first_pitch,delta_pfx_x,delta_pfx_z,delta_px,delta_pz,delta_start_speed
1801269.74236,7511.06871258,454919.554124,39.8111987414,3.40351211614,1.58355381771,193.54352444,1.56153255188,5.1098624931,-3.02669598279,5.94163146422,1.6655144683,-0.602263199531,-5.71395908467,28.3504484108,-21.059577518,90.1274293566,-1.32873277697,3.91104325543,-1.32295614286,36.6854912858,9.08393437264,0.81063686329,0.0961628833541,0.0932002533559,0.0489446907627,0.00710009603008,0.087162617739,0.856792595468,0.515456755818,0.348262264267,439233.313579,0.747402395572,7511.06871258,73.4030198394,0.012177430889,0.319974255767,0.0609382342725,0.127485033611,0.49160247635,0.0,0.0839343726376,-0.655442195476,0.729313918616,-1.01055992094,1.33279620768,1.15756073391
1740402.6032,7286.95609819,456178.883232,43.5046109884,3.39901610599,1.57892934147,121.327960631,1.55452152357,5.50967658137,2.45218340085,0.439680445347,-0.130515818313,2.44047888755,3.5610603961,23.4839657174,-31.3058182871,83.6635251331,-1.3125199082,3.89991938258,-1.30514924016,36.5555266918,9.14066761917,0.0,0.0,0.0,0.0298740096116,0.0102610728666,0.0461098844006,0.913755033121,0.511624886349,0.444473308222,437463.072217,0.754710942895,7286.95609819,73.5025327965,0.0113001688531,0.341213144564,0.0629951941811,0.11079360956,0.484998051695,0.0,0.0900116898298,4.32041195475,-4.16630046135,-1.00618528885,1.30768201422,-4.92120405247
1808837.48082,7543.42479387,455540.257745,39.5726669099,3.40153276906,1.5787623641,187.62501157,1.5262826503,5.08434877782,-1.82772145226,7.24907561279,1.95958723186,-1.37600877104,-3.52117132472,28.9368665803,-18.769759317,91.111326961,-0.489797440076,3.8797273797,-0.483979102517,36.5910543597,9.13932141554,0.889689894199,0.0649981758482,0.0453119299526,0.137482670558,0.0385844582269,0.250638453119,0.573294418096,0.511039766509,0.445414082452,438937.498796,0.741991796152,7543.42479387,73.3407369573,0.0117475373951,0.318219627873,0.0603867201751,0.127369573148,0.494024078803,0.0,0.0795622035753,-0.514160243295,1.66757286234,-0.340267037931,1.29456479252,2.13996526815
1708743.92375,7178.35227973,451239.894794,42.1983980283,3.40321580407,1.58047504621,133.956509598,1.4545340248,5.37153419593,1.94025917134,1.13276019819,0.630161230266,1.76748524875,2.90399368532,23.7046748267,-30.2751683708,84.1217606285,-0.484186739163,3.81275065313,-0.47777094886,36.4222119532,8.99784349969,0.0,0.0,0.0,0.0854898336414,0.0702402957486,0.144177449168,0.700092421442,0.516173752311,0.590573012939,438952.194239,0.751032777184,7178.35227973,73.5562230437,0.0120147874307,0.331330868762,0.0611521873075,0.113216266174,0.494300677757,0.0,0.0922674060382,3.09363637336,-3.81046791901,-0.325215127577,1.18720181814,-4.31558225508
1814123.59516,7565.69485852,455040.071555,39.3044323098,3.40476747748,1.57882667896,186.109201867,1.50960660989,5.05986809446,-1.24779377276,7.70186114666,2.29712658665,-1.62910042651,-2.43817729284,29.1105493352,-17.990865924,91.3507154103,-0.00176715647024,3.86862217238,0.00347372526771,36.701467981,9.18636976101,0.912389192256,0.051698461102,0.0359123466421,0.157776044252,0.0424792567903,0.292660095029,0.507084603929,0.513126728601,0.471016239983,438400.850918,0.741882457259,7565.69485852,73.3158499397,0.0121693496915,0.322360116304,0.0604921636763,0.12424650734,0.49290121268,0.0,0.0764201120488,-0.466729020099,1.99287411728,0.0512999226619,1.28452924592,2.45069626268
1704211.11786,7155.75822274,448670.262839,41.3938257357,3.40067383151,1.57778216965,145.791499444,1.44397003866,5.28015002885,1.5442761986,1.6359337092,1.12382943543,1.46450245063,2.36381693626,23.8672683255,-29.5075572722,84.3657602424,-0.000501751743055,3.80159085406,0.00506217541835,37.3479515291,9.1204558569,0.0,0.0,0.0,0.106895556838,0.0796306982112,0.174697057126,0.638776687825,0.50692440854,0.613964223889,435905.144691,0.748127315292,7155.75822274,73.3062608194,0.0126947489902,0.320686670514,0.0556837853433,0.121609924986,0.502019619158,0.0,0.0877091748413,2.16473304057,-3.48238162534,0.0332081305131,1.20385943131,-3.85474610502
1804250.40117,7528.3075232,454171.752677,39.0987749427,3.40702275375,1.57942300177,183.84171405,1.49631183822,5.03154710458,-0.466272466936,7.88438202319,2.34683077679,-1.71236067981,-1.00837349088,29.080504513,-17.7094812487,91.1959879373,0.483520287313,3.85963936359,0.488310567059,37.2349780166,9.22466273346,0.907820074405,0.0503739055278,0.0418060200669,0.121716583368,0.0315846830258,0.238228552103,0.608470181504,0.513622186314,0.453534252753,437661.458044,0.743808212787,7528.3075232,73.3125962948,0.0123445191838,0.324677764834,0.0607455563489,0.125474427868,0.489102250949,0.0,0.071831197625,-0.412335887994,2.17424366978,0.436492790069,1.28994209433,2.53505373718
1714896.85714,7194.01057462,445763.196129,41.8729050279,3.40722765363,1.57879189944,158.535051067,1.43584930287,5.33300079808,1.12133088334,1.94918602456,1.49915277191,1.35446584704,1.78810594764,23.9964447333,-28.9927162886,84.3848902634,0.479533029541,3.80183372804,0.483253192338,36.8545490822,9.09696727853,0.0,0.0,0.0,0.0810055865922,0.0498802873105,0.148044692737,0.72106943336,0.511173184358,0.581803671189,437237.700319,0.752585732504,7194.01057462,73.3784916201,0.00897845171588,0.319632881085,0.0574620909816,0.117517956903,0.50538707103,0.0,0.0871907422187,1.22180976408,-3.16107592524,0.43759680055,1.22003945544,-3.68936352753
1781338.35586,7451.90156166,452313.454884,38.6362089391,3.40858164782,1.57984331718,174.614935225,1.5135107262,4.97593968767,1.68788972421,7.35807990969,1.22306607026,-1.26124396793,2.8316013353,28.4768784478,-18.7911131085,89.8436689284,1.22265725984,3.87621713899,1.22445690899,38.0348088314,9.06080775444,0.828799138395,0.0739256865913,0.0972751750135,0.0400430802369,0.00398492191707,0.0842434033387,0.871728594507,0.510414647281,0.351814754981,434975.058632,0.745494138405,7451.90156166,73.287452881,0.012493268713,0.320323101777,0.0589983844911,0.126978998384,0.493699515347,0.0,0.0785568120625,0.026363020975,1.7915102321,1.0587287404,1.31551256221,1.77157113624
1702882.13453,7169.49935815,444640.437741,42.5840821566,3.40961155327,1.58160616175,181.789181674,1.5124698172,5.4053915276,0.172119757441,2.04313515995,1.69841140128,1.65782944784,0.441017202861,23.956256994,-28.8450641761,83.8420333761,1.21663540784,3.87263747964,1.21564338896,35.751732991,9.02207958922,0.0,0.0,0.0,0.0246469833119,0.00539152759949,0.0487804878049,0.921181001284,0.511168164313,0.477792041078,434279.557638,0.756407879475,7169.49935815,73.3165596919,0.0125802310655,0.337098844673,0.0541720154044,0.106546854942,0.502182284981,0.0,0.0808729139923,-0.904232259457,-3.12274758155,1.08387309459,1.28224304315,-4.02815404365
