Unnamed: 0,Unnamed: 0.1,pitcher_id,ab_id,sz_top,sz_bot,spin,norm_ht,inning,pfx_x,pfx_z,vx0,vz0,ax,ay,az,start_speed,px,pz,pxold,pitch_count_game,pitch_count_inning,fastball,slider,curveball,swg_strike,call_strike,contact,ball,pitcher_home,same_hand,MLBID,ops,Unnamed: 0.1,temp,wet,cloudy,overcast,dome,sunny,p_throws_left,first_pitch,delta_pfx_x,delta_pfx_z,delta_px,delta_pz,delta_start_speed
1802872.65895,7516.9840559,455206.417283,40.2776430097,3.40362629844,1.58295588937,183.964886593,1.56116224956,5.16235408762,-2.31432020248,5.66063144649,1.41149366435,-0.518148857013,-4.66928942994,28.3625442783,-21.431362215,90.2262331281,-1.31105133346,3.9109643203,-1.30485389065,36.2300698721,9.09300035247,0.822603719599,0.0798138126931,0.0975824677075,0.0496879600257,0.00725674358815,0.0862412141569,0.856814082229,0.515933735564,0.369751819369,439130.889469,0.747169722466,7516.9840559,73.3958968298,0.011983993697,0.320986502457,0.0610084800232,0.12664054239,0.49136447513,0.0,0.0856606746698,-0.0908095172271,0.478760604062,-0.996369997323,1.32734184345,1.16843575709
1732954.86298,7259.3917571,452949.169462,37.9961635427,3.39851057766,1.58597336403,233.879700945,1.55953125792,4.89225035624,-5.93531158566,4.26962694996,2.83571260646,1.07615767304,-8.93247813025,24.1156745614,-25.7754289083,83.627768278,-1.50200522319,3.90249031712,-1.49933278527,41.3912090321,9.03595308561,0.0,0.0,0.0,0.0249917790201,0.00811136687493,0.0622602214184,0.904636632687,0.507179655815,0.202236106544,438822.3683,0.756030327062,7259.3917571,73.562315028,0.0134824071029,0.327195001644,0.0619313822208,0.122328181519,0.488545434616,0.0,0.0708100405568,-2.42640528948,-0.752924520807,-1.1569052152,1.3692737597,-4.08736270963
1804935.15427,7528.64079709,455349.905649,39.9080542886,3.40192813439,1.57890827678,181.582186594,1.5220769045,5.12177383469,-1.38968399804,6.77772869325,1.78392264054,-1.16461937006,-2.82525844131,28.6774891589,-19.577195923,90.8053409723,-0.488474839874,3.87600599467,-0.482499402047,36.3743603293,9.15258927578,0.847786183113,0.0902770052286,0.0619368116587,0.136472355101,0.039631772166,0.243339081099,0.580556791634,0.51163922572,0.46242629881,439016.646262,0.742628728949,7528.64079709,73.3685337635,0.0117365669151,0.319612860162,0.0600456113027,0.126418400267,0.493923128268,0.0,0.0805567916342,-0.151227158911,1.26191900701,-0.338681546046,1.28657985531,1.82288060407
1689937.87826,7122.52173913,450957.5343,37.2950080515,3.39589500805,1.57896392915,215.365982544,1.47367444251,4.81803542673,-4.0945231268,5.37737835237,3.24839833931,0.300683201007,-6.20468695325,24.0044866328,-24.1252293244,83.5840483092,-0.508697973198,3.82587853307,-0.505268921095,41.2566827697,8.53623188406,0.0,0.0,0.0,0.0521739130435,0.0805152979066,0.197101449275,0.670209339775,0.507890499195,0.354911433172,437135.163929,0.746143466857,7122.52173913,73.1475040258,0.0125603864734,0.313365539452,0.0698872785829,0.119806763285,0.49694041868,0.0,0.0830917874396,-1.37645600138,-0.391061826343,-0.345516278014,1.25501966376,-4.0137294686
1810233.57079,7550.84269408,454578.052079,39.5530338429,3.4047587878,1.57874109873,182.324528424,1.50519768417,5.08691008611,-1.00949503952,7.1998258048,2.22479320571,-1.40021469054,-2.03780037444,28.7944181686,-18.8776282761,90.9703508444,-0.0015164532439,3.8644180392,0.00381866364061,36.5912822909,9.20050730926,0.858794472999,0.092543888926,0.0486616380749,0.156544956945,0.0438021493892,0.28478739737,0.514865496295,0.513103264135,0.487497496829,438315.818143,0.742001006128,7550.84269408,73.3375475602,0.0121220212269,0.322341632735,0.0597423402977,0.124317468794,0.493598558174,0.0,0.0771644082505,-0.229898714937,1.55716917336,0.0498919980343,1.2791644822,2.0752768173
1628289.86019,6882.76461295,451269.161137,37.670221169,3.3938171406,1.57849881517,187.692397382,1.46034036572,4.86295418641,-0.653456321046,5.94670644114,1.22478695295,0.0692285986504,-1.13596918736,24.1079352257,-23.2873787379,83.4800592417,-0.005719423295,3.80947900399,-0.00238191153239,41.731042654,8.58767772512,0.0,0.0,0.0,0.054897314376,0.105055292259,0.202606635071,0.637440758294,0.496840442338,0.374802527646,434083.767378,0.755472288562,6882.76461295,72.6477093207,0.0150078988942,0.318325434439,0.0695102685624,0.114928909953,0.497235387046,0.0,0.085308056872,-0.268655956766,-0.107439462234,0.0434201008048,1.22238251284,-3.70591232227
1801458.42291,7518.75421807,453621.957239,39.4393579603,3.40756228463,1.57959269046,182.782637776,1.49304843015,5.07054223428,-0.494345081791,7.42662365178,2.43592563748,-1.51074772998,-1.01277035692,28.8262847076,-18.4973655315,90.9191301398,0.482892720451,3.85712847053,0.487432983985,36.9570604724,9.22194647289,0.862647074577,0.0894856183828,0.0478673070399,0.120444928494,0.0319055866022,0.2325519113,0.615097573604,0.514470888607,0.472709743077,437782.176811,0.744660973136,7518.75421807,73.3258047814,0.0120873431056,0.324376439501,0.0605616954418,0.124319305826,0.490742559232,0.0,0.0732917923905,-0.324673668685,1.78938664273,0.437361906021,1.2850755265,2.23739684694
1673255.32135,7015.75685393,449070.542472,36.7743820225,3.39390292135,1.57372988764,153.496009843,1.44226329708,4.72898876404,3.81659812946,6.03781405873,-1.8053832514,0.12080554294,5.40161258355,24.0276009027,-23.2928355081,82.8226426966,0.490336132903,3.79263296555,0.499009438202,43.3739325843,9.00539325843,0.0,0.0,0.0,0.0620224719101,0.0647191011236,0.17797752809,0.695280898876,0.486741573034,0.259775280899,433668.104719,0.742114133881,7015.75685393,73.1285393258,0.0112359550562,0.320898876404,0.0579775280899,0.136629213483,0.484494382022,0.0,0.0696629213483,1.06203029937,-0.156167378354,0.417101772168,1.25498459822,-3.99317752809
1783804.58672,7461.20830059,452588.526286,39.3428303205,3.40988300148,1.58071519955,179.730593628,1.50894731065,5.05661077635,1.02483824095,7.07148000365,1.68300584929,-1.21335273245,1.9029299839,28.5506432627,-19.1325036466,90.1061409484,1.20430023068,3.87332845829,1.20568201467,37.4427560912,9.06767967863,0.840035804733,0.0850362413763,0.0749279538905,0.0401056676273,0.00401711640905,0.0834643262597,0.872412889704,0.512684481705,0.386712950834,435497.077548,0.745741381429,7461.20830059,73.3446860536,0.0125098244695,0.322744738451,0.0583136843944,0.123439000961,0.495502576194,0.0,0.0794472098507,-0.293303840318,1.55894440286,1.04644867238,1.3044477004,1.86920727447
1688656.73051,7113.93821966,442905.622232,34.8742249779,3.39627081488,1.57252059345,128.916545593,1.5588978709,4.52812223206,7.10562358573,5.68086828354,-3.03194092136,0.770682693768,10.1888948215,23.8297251822,-23.9999455268,82.0051749336,1.4036515579,3.90242846707,1.40728166519,42.0706377325,8.95770593446,0.0,0.0,0.0,0.0261293179805,0.00487156775908,0.0615589016829,0.907440212578,0.4880425155,0.106510186005,429080.565545,0.752399431142,7113.93821966,72.7320637733,0.0124003542958,0.310230292294,0.061780336581,0.14526129318,0.482728077945,0.0,0.0715234720992,2.46598930471,-0.0881595954952,1.20496733544,1.39904448278,-4.22091231178
