Unnamed: 0,Unnamed: 0.1,pitcher_id,ab_id,sz_top,sz_bot,spin,norm_ht,inning,pfx_x,pfx_z,vx0,vz0,ax,ay,az,start_speed,px,pz,pxold,pitch_count_game,pitch_count_inning,fastball,slider,changeup,swg_strike,call_strike,contact,ball,pitcher_home,same_hand,MLBID,ops,Unnamed: 0.1,temp,wet,cloudy,overcast,dome,sunny,p_throws_left,first_pitch,delta_pfx_x,delta_pfx_z,delta_px,delta_pz,delta_start_speed
1802738.754,7514.79408768,454938.927806,40.291768914,3.4035238427,1.58344511916,201.254839094,1.55251383408,5.16280206297,-3.43790662834,6.7117068472,1.78268964836,-0.963144121151,-6.22208868469,28.6700845064,-20.0088307715,90.8967360562,-1.31681857085,3.90260647682,-1.31101868527,36.0100652997,9.1272303789,0.825084224098,0.0800544857131,0.0948612901884,0.0516678451108,0.00685230628457,0.0904421245269,0.851037724078,0.516917605956,0.355280123113,438979.138866,0.747099225046,7514.79408768,73.3663852265,0.012186499189,0.322349540407,0.0615875722664,0.124807636318,0.491255251009,0.0,0.0809383188454,-1.01492063466,1.3573184753,-1.00047886352,1.33078829127,1.7616991432
1736477.0204,7289.70253904,455751.634123,37.9221289706,3.39971496866,1.58088197174,55.6915985183,1.64794179666,4.89599490067,5.65585395657,-6.4262863756,-1.00065026065,5.57352680604,7.06371167652,21.104395841,-40.1755048297,76.9805726123,-1.43719874468,3.98814292348,-1.43035589079,43.4799745033,8.68798470201,0.0,0.0,0.0,0.00552427493891,0.0122171464995,0.0200786146818,0.96217996388,0.497397216615,0.355253372995,440382.299267,0.756477613008,7289.70253904,73.8587060448,0.0113672580474,0.313077658557,0.0559864017848,0.141187719112,0.489748220546,0.0,0.119515563582,7.08713313182,-9.69114601306,-1.10997935812,1.33276977208,-9.9867725486
1804203.99858,7525.85618525,454810.082097,39.8406388617,3.4016604311,1.57900301858,189.330373489,1.52162546409,5.11398324901,-1.86848835748,7.50611210846,1.95081524815,-1.48237945236,-3.49990290955,28.9256711071,-18.5284657438,91.3269289854,-0.488055225038,3.87508169426,-0.482302623188,36.3061236059,9.14800958009,0.863993877811,0.0920028910335,0.0440032311551,0.14013009651,0.0385754573927,0.251689979168,0.56960446693,0.51247821096,0.45451582274,438913.30071,0.742328790574,7525.85618525,73.3451667304,0.0116775080425,0.319204115471,0.0606550175021,0.125023029066,0.49511783796,0.0,0.0782704816972,-0.533770371683,1.86884952769,-0.336296858608,1.28956490731,2.28430282159
1736350.95959,7289.64009879,460840.084419,39.154467894,3.40196340368,1.57744611585,82.3822257923,1.49548627705,5.03345307589,4.31021418788,-5.73798902917,0.160831929653,4.89103154384,5.50698495412,21.4879661116,-39.3623758376,77.5078715761,-0.509220711158,3.85570416303,-0.501490121239,40.8590031432,8.79546475079,0.0,0.0,0.0,0.0197575213291,0.0848675348002,0.0788055680287,0.816569375842,0.495734171531,0.512797485406,439342.2793,0.749830752477,7289.64009879,73.5846430175,0.013246519982,0.321733273462,0.0572519083969,0.1439155815,0.477099236641,0.0,0.118545127975,5.05511796165,-9.50578279313,-0.381225897734,1.2172873948,-9.55610687023
1807705.70806,7541.42210538,454062.678691,39.5564830876,3.40472112153,1.57881718886,185.100264579,1.5059250714,5.08674382047,-1.167150543,7.78166652947,2.28628273339,-1.65388663191,-2.26561943042,28.9967692149,-18.0393310244,91.3931489863,-0.00110354170609,3.86458825207,0.004232559085,36.4879526236,9.20682458803,0.871747614918,0.0939397224631,0.0343126626193,0.159583694709,0.0424029705117,0.290194058977,0.507819275802,0.512670750217,0.481813746748,438180.884459,0.74196334292,7541.42210538,73.2845701431,0.0122370988725,0.322839874241,0.0601691240243,0.123306049436,0.493684952298,0.0,0.07536047268,-0.365986956932,2.04748933442,0.0502187379045,1.28200034124,2.45070576756
1735022.20494,7277.47928669,462713.119616,38.175308642,3.39792071331,1.57703237311,129.859321792,1.45931178875,4.93470507545,2.42951866367,-5.44985567218,0.285300459933,4.75605151132,3.20078956938,21.4424117978,-38.9119544673,77.2077887517,-0.012795325224,3.82280871543,-0.00886776406036,42.2534979424,8.64691358025,0.0,0.0,0.0,0.0244170096022,0.114677640604,0.118244170096,0.742661179698,0.510562414266,0.524279835391,438107.717695,0.752121316302,7277.47928669,73.9308641975,0.0117969821674,0.309465020576,0.0578875171468,0.138271604938,0.494375857339,0.0,0.119341563786,2.49824674926,-9.52554533701,0.0387815365004,1.18230970662,-9.54108093278
1799797.22413,7510.35780246,453396.492467,39.461631235,3.40705801667,1.57943598006,180.468484075,1.49176664533,5.0718413047,-0.327019666847,7.98077465919,2.38391423525,-1.7533478037,-0.792742245083,29.0014305657,-17.7269135249,91.2899733588,0.483247505582,3.85507559776,0.488031753461,37.010782496,9.23453278851,0.869728007488,0.0902201501269,0.0400518423847,0.122621640595,0.0315554515508,0.237610930103,0.608211977751,0.513797634691,0.464295357586,437685.81632,0.744380230637,7510.35780246,73.3128363905,0.0119705506453,0.324644933667,0.0605727863482,0.124997749896,0.489784530088,0.0,0.0713192806869,-0.202585235304,2.26533640243,0.43877604053,1.28863155194,2.5749021655
1729482.54644,7275.29168221,454516.528907,36.7661320403,3.40667512122,1.57797426333,206.428827041,1.47746098918,4.76016411787,-0.383781908103,-5.20853198383,-0.00626863711024,4.87021755436,-0.248585222311,21.2145915626,-38.4417299536,76.5154979485,0.481718611651,3.84614031021,0.484633345767,41.1693397986,8.78142484148,0.0,0.0,0.0,0.0268556508765,0.0663931368892,0.0824319283849,0.824319283849,0.50540842969,0.47034688549,436364.535621,0.748364580263,7275.29168221,73.4308093995,0.0138008205893,0.31592689295,0.0581872435658,0.120477433793,0.50540842969,0.0,0.111152555017,-1.70362272152,-9.68741108111,0.391245452382,1.18641823575,-9.92689295039
1781094.87995,7449.23033612,452298.897842,39.1071489507,3.40892767872,1.58011975346,167.924449361,1.5029786051,5.02825882955,1.9299517207,7.84696936558,1.31207840343,-1.51312775503,3.12204325174,28.6663138965,-18.1884282776,90.4152889865,1.21280659984,3.86627741227,1.21492000085,37.3725900017,9.0799991469,0.82061508275,0.0830702951715,0.0963146220781,0.0412045725985,0.00392424500938,0.0864400272991,0.868431155093,0.510770346357,0.366852926122,434751.423925,0.746169993766,7449.23033612,73.2899036001,0.0125831769323,0.321084285958,0.0586930557925,0.12659955639,0.49362310186,0.0,0.0762881760792,0.371695174536,2.20659186058,1.05207653586,1.31223807735,2.19381483535
1695624.22902,7167.89568765,443804.174242,36.6826923077,3.40502301865,1.57806730769,274.162485088,1.65621927914,4.74854312354,-3.33941998203,-5.35309684081,0.546451789029,5.49286965791,-3.84950757319,20.7583266173,-38.4352931085,75.2228962704,1.35040278214,4.00795115223,1.344747669,44.490967366,8.75466200466,0.0,0.0,0.0,0.00670163170163,0.00641025641026,0.013986013986,0.972902097902,0.50641025641,0.289335664336,437241.028263,0.748646677818,7167.89568765,73.287004662,0.0113636363636,0.328962703963,0.0576923076923,0.108974358974,0.504370629371,0.0,0.112179487179,-5.74770534541,-9.45656132389,1.17814768743,1.32249078749,-10.5792715618
