Unnamed: 0,Unnamed: 0.1,pitcher_id,ab_id,sz_top,sz_bot,spin,norm_ht,inning,pfx_x,pfx_z,vx0,vz0,ax,ay,az,start_speed,px,pz,pxold,pitch_count_game,pitch_count_inning,slider,curveball,changeup,swg_strike,call_strike,contact,ball,pitcher_home,same_hand,MLBID,ops,Unnamed: 0.1,temp,wet,cloudy,overcast,dome,sunny,p_throws_left,first_pitch,delta_pfx_x,delta_pfx_z,delta_px,delta_pz,delta_start_speed
1736404.23289,7278.35624166,454902.482447,39.586125405,3.39909106156,1.58207943587,136.916847626,1.58978239024,5.07478559177,0.684965340207,-0.691965970662,0.588764776825,3.09017119236,0.473273261613,22.8498581717,-32.5650756579,81.2532776825,-1.42314603423,3.93246761304,-1.41759851344,40.7215551744,8.94183342863,0.293462931199,0.358795502192,0.347741566609,0.019439679817,0.0102153611588,0.042386125405,0.927958833619,0.504974271012,0.328225652754,438983.161502,0.755803620903,7278.35624166,73.6511149228,0.012083095102,0.326243567753,0.0601105393558,0.125709929484,0.487935963408,0.0,0.0939203354298,2.96695027077,-4.96161749861,-1.09583771737,1.33810139896,-6.44874595007
1816810.1398,7566.26428481,455047.385885,40.2439697543,3.40453759294,1.58359258979,205.258877187,1.55151223157,5.16025204789,-3.72226677591,7.60102538747,1.84725222481,-1.52784536642,-6.85968896019,29.6969000135,-18.2497358542,92.4342695652,-1.29594443821,3.90288054946,-1.2899373913,35.3384625079,9.13642091997,0.0,0.0,0.0,0.0568494013863,0.0063768115942,0.0979836168872,0.838790170132,0.518550724638,0.364221802142,439144.260668,0.745333868279,7566.26428481,73.3306490233,0.0121235034657,0.319962192817,0.061411468179,0.126452425961,0.492173913043,0.0,0.0812224322621,-1.37030502155,2.13587032214,-0.981940597919,1.32860545949,3.08258966604
1713339.25265,7201.29172301,454220.64458,40.1499537399,3.40120105331,1.57918098356,135.597997992,1.47174506519,5.14205394634,1.35793624827,-0.107206899522,1.05996932354,2.43347733758,1.7162682372,23.0682571369,-31.7966872177,81.906412355,-0.497538720726,3.82926741353,-0.491366166109,38.8969468365,8.83168457761,0.462031172159,0.316988114725,0.220980713117,0.0572912959932,0.0771475339833,0.135150523094,0.730410646929,0.507864208953,0.513842431144,438674.317913,0.749571306356,7201.29172301,73.4749128176,0.0125257988755,0.32431855384,0.0618461319479,0.124403957014,0.489431357199,0.0,0.098569496833,2.72759852343,-4.86019224693,-0.347456038714,1.21172502425,-5.91006262899
1820188.69677,7583.40217498,455386.465932,39.7192205492,3.40178843946,1.57884825969,193.900897359,1.53121188186,5.10163041695,-2.16069304531,8.29319866349,2.02535991873,-1.91925461521,-4.04407084313,29.7322679913,-16.9925679587,92.4885206509,-0.487415827296,3.88422496976,-0.481615507004,36.0416297609,9.19515795689,0.0,0.0,0.0,0.15042810747,0.0330676114556,0.265918708789,0.550585572286,0.512318341371,0.445100547846,438999.719663,0.741207659929,7583.40217498,73.3327592429,0.0115966276285,0.31821014992,0.0601318767838,0.126545943641,0.495112029656,0.0,0.0765344618312,-0.877118889031,2.5887122974,-0.337007357912,1.30222449062,3.30785437785
1698114.06911,7136.87451369,453076.901289,39.7796933405,3.39858394996,1.57771210619,149.454653463,1.45139778656,5.10351666794,1.36592926485,0.498331623773,0.910173650753,2.11023156292,1.92055709819,23.2395138475,-30.9210545433,82.2043901137,-0.00492781167955,3.80901414343,-0.000248912960561,39.5585475627,8.88587992982,0.528797009688,0.278053245862,0.19314974445,0.0739186818216,0.094286368144,0.164390876497,0.667404073537,0.505988252346,0.542833168052,436165.778702,0.750656539947,7136.87451369,73.3527347624,0.0128919063239,0.31711038218,0.0589671218247,0.124952322832,0.498970173163,0.0,0.0960408879396,1.78745914683,-4.5108336943,0.0367302735906,1.20144518887,-5.40710275383
1825920.25578,7608.90660366,454753.721676,39.4327353563,3.40558644758,1.5789412542,189.234157747,1.51439560929,5.07471085686,-1.47955391234,8.51615755754,2.45333026444,-2.05774810567,-2.80895246284,29.7419537042,-16.5969451091,92.4618873585,-0.000986706048846,3.87354600886,0.00440351013556,36.1889068524,9.24050180326,0.0,0.0,0.0,0.169381917672,0.0359252580525,0.3060875513,0.488605272976,0.513913070514,0.471785225718,438587.384405,0.740767389263,7608.90660366,73.3073000871,0.012078721552,0.323249595821,0.0602847904489,0.123818554906,0.492647058824,0.0,0.073638229076,-0.642528946658,2.72820916414,0.0523194044817,1.29276742757,3.3725119699
1709497.76618,7175.9928413,448871.335955,39.3486590038,3.40408903005,1.57743526921,170.351077147,1.44853654507,5.04264972777,1.31912905119,0.931577171521,0.350874142198,2.0280730411,2.04820710092,23.2514532155,-30.2682326124,81.9071889494,0.482547392378,3.81174643728,0.487161020367,39.4834644081,8.9911272434,0.505343819318,0.270316596088,0.224339584594,0.0621092962291,0.057672917927,0.137023593466,0.743194192377,0.504133897963,0.479431336963,436200.867816,0.749095490913,7175.9928413,73.3365597903,0.0107884654164,0.318915103852,0.0577737447066,0.122605363985,0.500705787457,0.0,0.0897358338375,0.395171953747,-4.25113269435,0.420469415735,1.21879066059,-5.4436287558
1814431.63867,7565.95055468,454387.537255,39.3352512625,3.40764622485,1.5797655642,183.985830739,1.49984683968,5.0605389519,-0.668080237969,8.69592925751,2.66861519068,-2.16203960794,-1.34571953285,29.7496663466,-16.3019532662,92.3961925656,0.483306383762,3.86347412222,0.488021918205,36.7339597649,9.25935507906,0.0,0.0,0.0,0.129729282225,0.0281273284212,0.249648149681,0.592495239672,0.515315837404,0.461524132792,437917.320701,0.743633399151,7565.95055468,73.3145127908,0.0123147611557,0.325337362364,0.0610149846842,0.125238016392,0.488409636559,0.0,0.0697491514198,-0.408579881003,2.93975118219,0.439896489199,1.2972963433,3.52718457654
1695354.39188,7147.84792705,443736.571899,37.9339694334,3.40319471418,1.57711610234,188.396658899,1.57183123271,4.88052013848,1.79840523432,1.28691921463,-0.439205459167,2.43090242425,2.91474297287,22.9812747501,-29.7766786214,80.6438461538,1.32671347609,3.92321019125,1.3261326522,40.6938275775,8.92003715275,0.328886261927,0.28979143798,0.381322300093,0.0200118213291,0.00548847420417,0.0435700413747,0.930929663092,0.500971037744,0.281600945706,433155.274846,0.752630238948,7147.84792705,73.0851135692,0.0121590813139,0.324495482564,0.0580933884995,0.122013003462,0.495398125475,0.0,0.0863801401672,-1.02268865118,-3.80107650317,1.15736899886,1.33844548847,-6.00011483577
1799861.65819,7516.90014814,454176.636094,39.2519946981,3.41034397172,1.5808611898,171.099243681,1.49545463817,5.04878238948,1.5004333423,8.6887201964,1.78282259461,-2.10216968377,2.5640136437,29.7107743864,-16.4275735144,92.0677802323,1.19001976516,3.8613905805,1.19226951166,36.9852639239,9.10021571328,0.0,0.0,0.0,0.0446500506796,0.0036645268602,0.0931725446371,0.858512877823,0.513397614159,0.38617875614,435464.772565,0.744402478003,7516.90014814,73.3526782234,0.012604932817,0.3207370637,0.0587883670764,0.126439171453,0.49403539777,0.0,0.0763832939158,0.255051596905,3.01540945818,1.0309131799,1.30508608866,3.57654936715
